https://zh.wikipedia.org/wiki/2017%E5%B9%B4%E8%A5%BF%E6%95%8F%E8%A5%B2%E6%93%8A%E4%BA%8B%E4%BB%B6,2017年西敏襲擊事件
https://zh.wikipedia.org/wiki/2016%E5%B9%B47%E6%9C%88%E5%B7%B4%E6%A0%BC%E8%BE%BE%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,2016年7月巴格达恐怖袭击事件
https://zh.wikipedia.org/wiki/%E8%87%AA%E6%AE%BA%E6%94%BB%E6%93%8A,自殺攻擊
https://zh.wikipedia.org/wiki/%E8%80%B6%E8%B7%AF%E6%92%92%E5%86%B7%E6%B3%95%E5%9B%BD%E5%B1%B1%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,耶路撒冷法国山恐怖袭击事件
https://zh.wikipedia.org/wiki/%E9%97%8A%E5%8F%AF%E5%AF%87%E7%86%B1%E5%85%8B%E6%9D%91%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,闊可寇熱克村恐怖袭击事件
https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E5%96%80%E4%BB%80%E6%9A%B4%E5%8A%9B%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,2011年喀什暴力恐怖袭击事件
https://zh.wikipedia.org/wiki/2017%E5%B9%B410%E6%9C%88%E6%91%A9%E5%8A%A0%E8%BF%AA%E6%B2%99%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB,2017年10月摩加迪沙恐怖袭击
https://zh.wikipedia.org/wiki/2016%E5%B9%B4%E4%BC%8A%E6%96%AF%E5%9D%A6%E5%B8%83%E5%B0%94%E6%9C%BA%E5%9C%BA%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB,2016年伊斯坦布尔机场恐怖袭击
https://zh.wikipedia.org/wiki/2019%E5%B9%B412%E6%9C%88%E6%91%A9%E5%8A%A0%E8%BF%AA%E6%B2%99%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB,2019年12月摩加迪沙恐怖袭击
https://zh.wikipedia.org/wiki/%E7%89%B9%E6%8B%89%E7%BB%B4%E5%A4%AB%E4%B8%AD%E5%A4%AE%E6%B1%BD%E8%BD%A6%E7%AB%99%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB,特拉维夫中央汽车站恐怖袭击
https://zh.wikipedia.org/wiki/2017%E5%B9%B46%E6%9C%88%E4%BC%A6%E6%95%A6%E6%A1%A5%E8%A2%AD%E5%87%BB%E6%A1%88,2017年6月伦敦桥袭击案
https://zh.wikipedia.org/wiki/2014%E5%B9%B4%E5%B7%B4%E6%A5%9A%E5%8E%BF%E6%9A%B4%E5%8A%9B%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,2014年巴楚县暴力恐怖袭击事件
https://zh.wikipedia.org/wiki/2013%E5%B9%B4%E8%8E%8E%E8%BD%A6%E5%8E%BF%E2%80%9C12%C2%B730%E2%80%9D%E6%9A%B4%E5%8A%9B%E6%81%90%E6%80%96%E8%A2%AD%E5%87%BB%E4%BA%8B%E4%BB%B6,2013年莎车县“12·30”暴力恐怖袭击事件
